Best parameters set found on development set:
0.36074074074074075
{'C': 0.65, 'decision_function_shape': 'ovr', 'degree': 0, 'gamma': 0.04}
0.3391 (+/-0.007) for {'C': 0.6, 'decision_function_shape': 'ovo', 'degree': 4, 'gamma': 0.05}
0.3339 (+/-0.002) for {'C': 0.6, 'decision_function_shape': 'ovo', 'degree': 4, 'gamma': 0.06}
0.3596 (+/-0.007) for {'C': 0.6, 'decision_function_shape': 'ovo', 'degree': 6, 'gamma': 0.04}
0.3391 (+/-0.007) for {'C': 0.6, 'decision_function_shape': 'ovo', 'degree': 6, 'gamma': 0.05}
0.3339 (+/-0.002) for {'C': 0.6, 'decision_function_shape': 'ovo', 'degree': 6, 'gamma': 0.06}
0.3607 (+/-0.008) for {'C': 0.65, 'decision_function_shape': 'ovr', 'degree': 0, 'gamma': 0.04}
0.3402 (+/-0.006) for {'C': 0.65, 'decision_function_shape': 'ovr', 'degree': 0, 'gamma': 0.05}
0.3339 (+/-0.002) for {'C': 0.65, 'decision_function_shape': 'ovr', 'degree': 0, 'gamma': 0.06}
0.3607 (+/-0.008) for {'C': 0.65, 'decision_function_shape': 'ovr', 'degree': 1, 'gamma': 0.04}
0.3402 (+/-0.006) for {'C': 0.65, 'decision_function_shape': 'ovr', 'degree': 1, 'gamma': 0.05}
0.3339 (+/-0.002) for {'C': 0.65, 'decision_function_shape': 'ovr', 'degree': 1, 'gamma': 0.06}
0.3607 (+/-0.008) for {'C': 0.65, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.04}
0.3402 (+/-0.006) for {'C': 0.65, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.05}
0.3339 (+/-0.002) for {'C': 0.65, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.06}
0.3607 (+/-0.008) for {'C': 0.65, 'decision_function_shape': 'ovr', 'degree': 6, 'gamma': 0.04}
0.3402 (+/-0.006) for {'C': 0.65, 'decision_function_shape': 'ovr', 'degree': 6, 'gamma': 0.05}
0.3339 (+/-0.002) for {'C': 0.65, 'decision_function_shape': 'ovr', 'degree': 6, 'gamma': 0.06}
0.3607 (+/-0.008) for {'C': 0.65, 'decision_function_shape': 'ovo', 'degree': 0, 'gamma': 0.04}
0.3402 (+/-0.006) for {'C': 0.65, 'decision_function_shape': 'ovo', 'degree': 0, 'gamma': 0.05}
0.3339 (+/-0.002) for {'C': 0.65, 'decision_function_shape': 'ovo', 'degree': 0, 'gamma': 0.06}
0.3607 (+/-0.008) for {'C': 0.65, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.04}
0.3402 (+/-0.006) for {'C': 0.65, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.05}
0.3339 (+/-0.002) for {'C': 0.65, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.06}
0.3607 (+/-0.008) for {'C': 0.65, 'decision_function_shape': 'ovo', 'degree': 4, 'gamma': 0.04}
0.3402 (+/-0.006) for {'C': 0.65, 'decision_function_shape': 'ovo', 'degree': 4, 'gamma': 0.05}
0.3339 (+/-0.002) for {'C': 0.65, 'decision_function_shape': 'ovo', 'degree': 4, 'gamma': 0.06}
0.3607 (+/-0.008) for {'C': 0.65, 'decision_function_shape': 'ovo', 'degree': 6, 'gamma': 0.04}
0.3402 (+/-0.006) for {'C': 0.65, 'decision_function_shape': 'ovo', 'degree': 6, 'gamma': 0.05}
0.3339 (+/-0.002) for {'C': 0.65, 'decision_function_shape': 'ovo', 'degree': 6, 'gamma': 0.06}
